id,user_id,watched_video_id,watch_time_in_sec,ad_cat_id,click,ad_id,final_gender_code,age_level,occupation,brand_id,ad_title
208,189,1943,211,9,0,222,1,3,9,14,Mcbysb9Kne
209,47,1772,275,2,1,13,2,3,4,14,rvgV1bE8DJ
210,410,1103,294,1,0,338,1,4,1,27,q4MPmYIFMY
211,996,3922,273,6,1,263,2,2,8,12,oUKqeOByp4
212,589,4281,25,6,1,301,2,2,7,18,lQz1gkenMB
213,304,7388,195,6,0,181,1,3,5,3,QiYtCEOoA4
214,484,2140,48,3,0,221,1,2,5,20,ARlhAc4M2U
215,275,5713,104,5,0,369,2,5,2,4,YhxImaZVeM
216,374,7212,5,2,1,272,2,2,1,24,hks9Hdjclb
217,116,3483,72,8,0,190,2,4,2,31,6Y1R3i6x69
218,779,1665,203,5,0,38,1,2,7,37,mEH2NujyXh
219,225,7438,92,4,0,370,2,2,9,17,A7pIewdMPc
220,121,10000,284,5,1,217,1,4,5,28,QhQ0LcxWtB
221,443,6513,155,7,0,138,1,4,10,35,7UU312Xcpp
222,761,9832,128,10,1,373,2,4,8,21,PnhaaGhMY5
223,242,9211,151,1,0,177,1,2,4,10,wXnd0hqQoF
224,221,8461,58,2,0,360,1,3,7,31,il3raFJFrm
225,877,6656,222,10,0,70,1,5,3,4,nP4auj3IcZ
226,57,8553,254,7,1,159,1,4,3,31,YXWdPWSaGg
227,86,1139,271,2,1,166,2,3,7,15,IWugeeyNfR
228,101,691,27,6,1,72,2,1,9,37,j3AxZE3ZfW
229,549,1922,259,8,0,372,2,4,3,24,aCmYKq5xYO
230,559,2255,44,6,1,389,2,5,6,21,Fd8tohdTGM
231,753,6405,145,7,0,358,2,2,5,34,wVo0lPFxnR
232,975,3963,69,10,1,105,2,5,4,16,u96wxOvVwY
233,189,2303,16,1,1,91,1,3,9,37,v1gzIg7UI0
234,839,9678,239,6,0,263,2,3,4,12,oUKqeOByp4
235,808,4982,249,6,1,232,1,4,9,30,vnYORoQhNC
236,289,8531,96,6,1,343,2,3,1,8,lFu875mOQW
237,745,7158,252,10,0,281,2,1,7,6,Ghpdp7xORC
238,714,3050,280,5,1,131,2,4,10,36,9NEMpgowlD
239,959,5209,135,1,0,292,1,2,1,10,MKs3z5CoVV
240,977,3343,269,9,1,253,2,2,8,15,jd7DnJMgRo
241,242,5428,245,8,1,339,1,2,4,28,Piz2CO2gwr
242,937,7108,89,10,1,100,2,4,7,38,OFoNT4dX7K
243,677,8158,280,5,1,130,2,4,3,32,ZK1DFo4HG2
244,87,4167,84,10,0,282,2,4,8,40,xHJoCsFd45
245,758,876,208,3,1,279,1,4,8,5,n8gJwBwypt
246,870,3127,38,6,1,316,2,5,2,23,lsJw1Hd8u0
247,308,3855,15,8,1,372,1,5,9,24,aCmYKq5xYO
248,529,8907,78,8,0,236,1,3,2,12,ESKW5CaaSY
249,234,9244,41,4,1,400,2,3,6,8,HWFrOKDNsz
250,447,859,299,6,1,32,1,5,5,28,x57lptT636
251,121,8761,72,5,1,38,1,4,5,37,mEH2NujyXh
252,585,5628,273,4,0,331,2,4,3,12,PNz8MQhSQf
253,259,10047,181,2,0,367,1,2,9,36,7Z1OgnBDOn
254,357,7568,284,6,0,290,2,3,8,19,xj5uMBowYz
255,864,5950,254,6,0,382,2,2,7,40,oG8tYV47bo
256,589,9692,97,2,1,149,2,2,7,37,gSRRz0Y04c
257,502,2989,27,1,0,3,1,4,5,22,j37JDFybMq
258,460,3323,251,4,1,43,1,2,3,7,PYzIU7n3aa
259,982,2084,130,10,0,78,2,5,5,12,YiXRFM7fIW
260,196,3373,26,4,1,294,1,5,2,35,i5st32ciQz
261,777,1269,143,6,1,397,2,3,9,20,m60sbycVCf
262,275,2475,277,10,1,314,2,5,2,40,2ZGm0AxP1F
263,936,4412,157,2,1,64,1,5,2,27,nfaL98dtbK
264,8,3119,287,5,0,234,2,5,2,17,thL3yEn16O
265,672,3956,254,1,0,242,2,1,2,17,hpeRZWk0Eb
266,221,735,201,2,1,329,1,3,7,32,22feNgf3Dh
267,191,7160,82,6,0,122,2,5,8,19,mrX8HSypMK
268,334,8630,47,6,0,290,2,6,4,19,xj5uMBowYz
269,519,8966,263,2,1,266,1,3,3,4,Hs7pRV4cTU
270,730,6257,2,4,1,46,2,2,5,19,xQlhAuZvbR
271,421,5039,86,4,0,52,2,3,1,15,QFrbUrNCcO
272,711,2380,91,6,1,245,1,4,6,20,qwQEYB00sF
273,894,2696,277,8,1,39,2,2,7,23,pYWzIW0A0A
274,262,8846,58,4,1,331,2,2,2,12,PNz8MQhSQf
275,276,4888,44,1,1,85,1,3,10,17,0z2pHxymu8
276,793,415,266,4,1,46,1,3,8,19,xQlhAuZvbR
277,380,1467,163,2,1,149,2,1,1,37,gSRRz0Y04c
278,825,9213,168,5,0,33,2,4,8,9,77qdX3k4Ab
279,2,8806,87,7,1,65,1,4,9,4,7jqVZGhxG6
280,149,5946,151,3,0,279,1,4,9,5,n8gJwBwypt
281,353,9810,130,10,0,299,2,2,7,23,sG5UetCxLn
282,73,5945,298,9,1,54,1,4,1,2,ZxSukTRoTr
283,129,3551,59,5,1,332,1,3,2,24,7xhOb2MCzC
284,175,6204,11,9,0,15,1,3,4,39,ze63JQQWrE
285,161,8402,44,8,1,203,2,5,7,14,OaL8lmTvBy
286,209,1733,229,5,0,309,2,4,7,26,tijzYNbnwO
287,963,498,3,10,0,282,2,5,5,40,xHJoCsFd45
288,349,8327,144,6,0,86,2,2,6,1,POhgC0nAVc
289,806,8861,288,5,0,4,1,5,6,25,UkL8XPYxRj
290,304,5986,71,3,0,189,1,3,5,13,94erfjng3R
291,489,1941,167,6,1,319,2,5,4,29,lrvyExtKsP
292,302,9839,228,7,1,241,2,3,2,6,YfU6EXNoY3
293,727,2824,156,7,0,94,2,5,5,18,fipxx1qygI
294,486,2423,270,10,0,355,2,2,5,20,7F3d57QKuW
295,491,7897,228,9,1,298,1,3,3,33,QiUOksxHJI
296,930,6047,226,3,1,297,2,3,6,31,23Zyi18qUE
297,913,3054,125,2,0,243,2,5,4,28,8J2Mw9qnc3
298,188,3234,236,7,0,195,2,2,3,36,F0SBoLRMvg
299,263,7772,62,9,1,41,2,3,10,3,03mySCczDH
300,67,2759,294,4,0,396,1,3,2,35,FgsxXTitFy
301,461,8434,109,5,0,33,2,3,7,9,77qdX3k4Ab
302,47,8805,221,6,0,382,2,3,4,40,oG8tYV47bo
303,967,3223,151,5,1,22,2,3,8,33,KRrDHGmeKc
304,749,1556,205,9,1,80,2,4,4,5,46uRLHf9uV
305,396,8735,67,3,1,73,1,3,6,37,CjOreWICct
306,637,1493,17,5,0,139,2,1,8,3,NhrHbF1inF
307,948,7307,64,5,1,224,1,5,10,14,TsyCG6M6cy
308,440,6730,289,3,1,104,2,2,3,39,yZTZzdpmrU
309,426,5020,39,8,0,388,2,3,8,31,LeWBh9bWZD
310,213,1328,111,9,1,120,1,5,10,33,vUFAWtYjzA
311,762,5599,234,5,0,390,1,4,1,16,W77Wb4BwrE
312,579,3866,222,4,0,14,1,4,1,22,opYrwEBhjG
313,5,7371,248,5,0,106,1,4,5,37,f36iij1XG0
314,430,6556,204,3,1,323,1,5,4,18,WHzTHDA5wZ
315,705,6509,110,5,0,174,2,3,6,4,0tinh9dt80
316,225,6860,63,2,1,82,2,2,9,34,0e025Ro0Sz
317,832,8640,278,3,1,322,2,3,10,35,cHRkQGKD2u
318,685,108,218,6,1,343,2,3,5,8,lFu875mOQW
319,674,6524,168,6,1,154,1,3,1,27,IbjEJJamNr
320,352,9033,113,8,1,325,1,4,2,7,bxXOVQRL5Y
321,63,3349,80,10,1,299,2,4,8,23,sG5UetCxLn
322,319,1232,241,2,1,365,2,4,2,28,ZemLr0xPgs
323,399,774,285,2,0,167,2,5,2,20,DBBCplCVWe
324,506,6300,158,1,0,91,1,3,3,37,v1gzIg7UI0
325,796,5184,10,6,0,56,2,2,8,18,TvVIpGOuV5
326,815,2075,71,9,1,346,2,2,10,33,lzwWYs7yZG
327,597,2366,38,3,0,101,2,3,9,35,aJ61cfeZCc
328,390,7738,184,4,0,308,2,3,6,29,vrXcdxqPgJ
329,396,2316,282,1,0,6,1,3,6,31,iUB7eA6K9m
330,116,279,251,2,0,328,2,4,2,22,714viT0gmT
331,820,3049,111,9,0,252,1,3,7,16,7698TtYNAJ
332,267,1979,260,8,0,17,1,5,8,18,MBXpB8EpCS
333,818,7342,262,7,0,162,1,4,7,1,UXfDe7ZdL4
334,952,217,72,2,0,262,2,3,3,33,gPq7cbtTor
335,795,9249,36,5,0,219,2,2,4,1,IQdDM1UM9A
336,151,3969,137,8,0,287,2,3,3,15,1qc2Ru8jIn
337,24,8346,22,7,0,241,1,5,2,6,YfU6EXNoY3
338,729,7270,240,2,0,149,1,3,1,37,gSRRz0Y04c
339,416,2794,277,2,0,328,2,2,8,22,714viT0gmT
340,897,1497,278,8,0,236,2,6,8,12,ESKW5CaaSY
341,950,1647,54,4,0,357,1,3,4,25,b4WZ3SBsFy
342,153,9548,174,4,1,43,1,3,5,7,PYzIU7n3aa
343,840,8064,110,10,0,373,1,3,6,21,PnhaaGhMY5
344,65,5919,104,10,0,8,1,4,8,10,fLgjOruTUM
345,970,1493,107,5,1,369,2,3,10,4,YhxImaZVeM
346,293,837,261,7,1,403,2,2,3,3,E9HNTakURX
347,332,2185,191,7,0,23,2,4,10,9,d2V9h8xJde
348,608,1226,84,6,0,192,2,2,1,4,5dq6S8CMzH
349,42,6891,141,1,0,3,2,2,9,22,j37JDFybMq
350,254,3478,60,3,1,42,2,4,8,19,EL3n293fp5
351,849,7759,159,2,1,226,1,4,6,31,jm9YU718Be
352,860,1218,58,7,1,352,2,2,2,6,c0rk8kMbyV
353,568,4753,158,4,0,357,2,4,1,25,b4WZ3SBsFy
354,14,6475,160,9,1,165,1,5,10,16,7kUhuUIpM8
355,79,2672,128,5,0,102,2,4,1,10,Vj3KyqkzK2
356,746,7439,171,1,0,284,2,3,8,34,fFs2egll1j
357,421,3686,117,2,0,2,2,3,1,8,OrZ6WLgGZY
358,899,9354,134,5,0,22,2,3,3,33,KRrDHGmeKc
359,727,234,269,5,0,224,2,5,5,14,TsyCG6M6cy
360,327,5383,22,5,1,361,1,5,6,15,dpkXZLhVkG
361,116,4958,181,1,1,95,2,4,2,18,Cch5GTuNFR
362,868,187,40,8,1,276,1,3,10,20,20bEqtEjGZ
363,568,1968,26,5,1,130,2,4,1,32,ZK1DFo4HG2
364,500,3371,82,10,1,105,2,3,6,16,u96wxOvVwY
365,774,8696,165,6,1,389,1,4,5,21,Fd8tohdTGM
366,649,1165,283,7,0,375,2,3,7,32,4FMVNHVUad
367,34,6097,216,9,0,152,1,5,1,26,ICOWBmF8fd
368,212,308,94,9,0,199,2,3,10,22,KSElZ2DLM1
369,920,6367,62,3,1,279,1,4,1,5,n8gJwBwypt
370,579,9432,198,2,0,164,1,4,1,3,xy38dCBPP7
371,508,2273,69,6,1,134,2,4,3,28,29SFMZZ2X3
372,596,6864,157,3,0,285,1,3,7,17,pG5qDb7JxF
373,789,488,16,8,1,250,2,2,6,10,wcTD2Z2dwe
374,822,8079,47,5,1,125,2,1,10,33,wCyI7C24bO
375,58,3074,292,8,1,289,1,4,3,21,WR6IaHdJ3m
376,992,6027,289,6,0,114,2,4,3,34,ZkcvyMdWVU
377,269,2327,109,2,0,68,1,4,8,28,sY4eoJYz12
378,859,2541,134,7,1,141,2,3,1,34,f1DPXwCK9D
379,219,1520,126,9,1,93,2,5,9,3,iEIhhaIuM0
380,496,5560,219,7,0,119,1,3,7,40,VBPTIZe5ih
381,792,9012,92,8,1,364,2,3,6,16,V23xV9d8hW
382,591,5092,271,3,0,305,2,2,7,18,iORHD89I5b
383,64,7772,89,9,0,227,2,2,8,40,gafnxuXiRV
384,22,6990,104,9,1,116,1,4,10,33,11KDz6OM5Z
385,565,4837,112,5,0,11,2,3,2,8,IetsSaD7Z1
386,629,5043,131,1,1,91,1,5,1,37,v1gzIg7UI0
387,451,3176,8,10,0,78,2,4,4,12,YiXRFM7fIW
388,30,8557,294,10,0,304,2,5,6,28,FIEx6924BB
389,290,9545,192,1,0,127,2,2,3,22,HpBfxa1sUT
390,602,8078,142,8,1,264,2,2,7,32,G4btHnrjh0
391,91,275,192,7,1,162,1,2,2,1,UXfDe7ZdL4
392,576,8758,81,9,1,93,2,3,1,3,iEIhhaIuM0
393,989,319,245,10,1,88,1,3,8,2,4jzntFrFNR
394,624,5330,200,8,0,236,1,5,6,12,ESKW5CaaSY
395,114,913,121,9,1,404,2,3,10,2,QSrzGQktqe
396,820,2257,6,4,0,81,1,3,7,14,26KONs6rNP
397,478,6405,210,7,1,65,2,5,8,4,7jqVZGhxG6
398,850,6205,15,1,0,1,2,3,7,16,hI56FpLEGb
399,806,6119,91,8,1,97,1,5,6,20,gcAw7YbAcl
400,537,5988,270,7,1,138,2,1,4,35,7UU312Xcpp
401,106,3318,220,5,0,217,2,3,9,28,QhQ0LcxWtB
402,184,8205,198,1,1,127,2,5,5,22,HpBfxa1sUT
403,389,3556,122,9,1,380,1,5,1,2,uFPFrdlTZ1
404,776,6712,188,3,1,42,2,4,4,19,EL3n293fp5
405,716,7721,170,8,0,287,1,4,5,15,1qc2Ru8jIn
406,560,5065,101,8,1,386,2,2,5,13,xB1ltYTE6Y
407,629,3324,253,10,0,100,1,5,1,38,OFoNT4dX7K
408,508,6686,246,3,1,342,2,4,3,17,r3AuNWPNHk
409,190,9411,58,10,1,184,2,3,4,1,DVMmTPF3Xq
410,887,8724,247,1,1,113,2,4,3,26,nyhAJRO9Gw
411,517,6163,12,8,1,39,2,4,2,23,pYWzIW0A0A
412,357,430,172,2,1,123,2,3,8,22,DuyW6y2Jjq
413,852,5043,79,1,0,321,1,6,8,21,CD6TDh21kP
414,359,4376,141,7,1,186,2,2,2,30,uRFfp8xhAC
